,pred_train,y_train
0,39.09186480186484,40.8
1,33.201142191142154,34.225641025641025
2,28.79,28.0
3,36.30922377622377,35.30769230769231
4,18.154452214452213,8.864102564102563
5,31.2384615384615,30.6
6,29.065000000000005,28.0
7,28.69282051282056,33.07948717948718
8,38.38212121212118,36.2
9,20.125104895104926,20.4
10,13.138116550116553,13.605128205128207
11,18.678822843822868,9.95
12,42.16454545454546,43.5
13,26.915128205128187,27.7
14,9.981522144522145,8.0
15,32.95068764568761,32.2
16,28.456363636363633,28.0
17,30.804172494172505,31.684615384615384
18,49.77510489510484,58.2
19,40.9036363636363,41.7
20,28.74048951048947,27.7
21,21.695629148629155,22.0
22,23.665233100233113,21.8
23,33.567272727272716,36.1
24,43.70090909090909,44.5
25,23.69652680652684,20.4
26,31.606363636363618,33.2
27,18.336054778554786,11.5
28,21.952890442890425,21.06923076923077
29,39.137727272727325,37.8
30,20.53454545454549,19.9
31,61.37426573426568,64.37948717948717
32,46.500303030303094,51.8
33,16.767342657342677,10.4
34,45.66465034965035,50.41538461538461
35,6.297909090909091,5.0
36,24.515484848484885,22.4
37,61.163193473193395,63.65384615384616
38,24.386363636363665,30.8
39,19.590559440559463,22.4
40,21.220179487179514,26.9
41,21.668,28.7
42,36.31494172494169,36.6
43,31.098181818181832,30.9
44,11.4355337995338,11.0
45,29.220046620046592,26.47948717948718
46,40.91151515151514,42.6
47,40.88818181818184,40.9
48,21.167554778554777,17.5
49,16.89435897435896,9.505128205128205
50,41.317307692307644,41.7
51,44.28394405594406,47.774358974358975
52,29.44181818181816,29.6
53,31.27090909090909,36.0
54,13.731142191142188,9.5
55,21.580909090909103,19.3
56,29.514311188811213,31.625641025641027
57,17.9888811188811,18.6
58,27.748764568764603,29.4
59,30.05272727272723,30.1
60,31.902820512820497,30.761538461538464
61,7.184212121212121,7.0
62,29.17244755244756,25.0
63,35.369090909090964,38.8
64,41.68367132867132,42.9
65,27.16157342657345,24.8
66,14.149137529137507,11.1
67,6.263636363636364,4.0
68,23.247051282051295,20.8
69,56.41240093240093,55.233333333333334
70,36.30922377622377,38.661538461538456
71,6.77291142191142,4.5
72,12.212988344988347,11.292307692307693
73,18.514731934731955,15.2
74,25.02100233100231,28.200000000000003
75,13.821592074592079,18.42
76,27.637272727272762,25.3
77,11.389170163170164,10.5
78,8.290818181818182,8.0
79,11.76472727272726,7.37
80,8.520909090909075,3.78
81,12.263818181818165,14.3
82,4.802393939393939,2.0
83,35.83310023310025,36.684615384615384
84,26.970372960372988,26.3
85,26.87286713286714,32.0
86,25.76107226107231,23.9
87,29.12272727272722,28.1
88,29.230000000000043,25.9
89,36.83750582750583,39.0
90,34.290442890442854,34.04358974358975
91,36.50319347319349,34.9
92,19.589300699300686,19.3
93,23.06296037296038,21.5
94,25.79363636363637,24.0
95,30.613030303030268,26.2
96,24.915103896103926,26.9
97,29.514311188811213,24.42307692307692
98,8.653909090909092,9.0
99,22.221002331002325,21.200000000000003
100,17.920629370629403,17.7
101,21.695629148629155,19.8
102,31.98727272727276,35.9
103,48.81214452214452,55.4
104,35.148181818181875,37.3
105,33.07409090909091,38.5
106,7.936410256410265,5.47
107,22.055128205128213,21.36923076923077
108,10.481818181818182,12.0
109,28.14317715617716,24.0
110,42.25203263403263,36.52307692307692
111,21.579557109557147,22.4
112,38.12114219114225,40.8
113,34.5316083916084,37.96666666666667
114,42.25203263403263,46.6
115,8.10909090909091,8.0
116,35.199557109557134,38.4
117,31.65909090909087,33.2
118,8.4,9.0
119,59.81342657342661,58.42564102564103
120,16.231864801864777,15.3
121,32.56477855477851,31.7
122,21.441608391608394,19.0
123,23.63167832167831,19.7
124,13.461282051282055,8.5
125,17.596363636363638,12.0
126,27.707505827505862,23.4
127,39.32636363636358,43.2
